SyslogMessage
"00:19:13 GMT system4 0-PPE-1 : default SSLVPN Message 497445291 0 :  ""vserver system_CitrixApps-SSL configured with Auth vserver AAA-SDC-CTX-nFactor, using auth for policies"""
00:19:21 GMT system2 0-PPE-1 : default SSLVPN HTTPREQUEST 497446967 0 : Context ncl_aes@73.2.3.4 - SessionId: 276606 - cotc.domain.com User ncl_aes : Group(s) N/A : Vserver 73.2.3.4:443 - 07/11/2020:00:19:21 GMT : SSO is ON : GET /Citrix/cotc/resources/v2?Scope=$PRELAUNCH$ - -
"00:19:21 GMT system2 0-PPE-1 : default SSLVPN Message 497446968 0 :  ""SSO ns_sslvpn_process_sso_conn: User ncl_aes Remote_ip 73.2.3.4 request: /Citrix/cotc/resources/v2?Scope=$PRELAUNCH$ sso_flags-0 p_flags-0 x_flags-200000 author_hdr_removed-0"""
00:19:20 GMT system2 0-PPE-1 : default SSLVPN HTTPREQUEST 497446703 0 : Context ncl_aes@73.2.3.4 - SessionId: 276606 - cotc.domain.com User ncl_aes : Group(s) N/A : Vserver 73.2.3.4:443 - 07/11/2020:00:19:20 GMT : SSO is ON : GET /Citrix/cotc/resources/v2?clientName=hostname1234&clientAddress=10.0.0.74 - -
"00:19:20 GMT system2 0-PPE-1 : default SSLVPN Message 497446704 0 :  ""SSO ns_sslvpn_process_sso_conn: User ncl_aes Remote_ip 73.2.3.4 request: /Citrix/cotc/resources/v2?clientName=WT008064bf5401&clientAddress=10.0.0.74 sso_flags-0 p_flags-0 x_flags-200000 author_hdr_removed-0"""
00:19:20 GMT system2 0-PPE-1 : default SSLVPN HTTPREQUEST 497446769 0 : Context ncl_aes@73.2.3.4 - SessionId: 276606 - cotc.domain.com User ncl_aes : Group(s) N/A : Vserver 73.2.3.4:443 - 07/11/2020:00:19:20 GMT : SSO is ON : POST /Citrix/cotcAuth/auth/v1/protocols - -
"00:19:20 GMT system2 0-PPE-1 : default SSLVPN Message 497446770 0 :  ""SSO ns_sslvpn_process_sso_conn: User ncl_aes Remote_ip 73.2.3.4 request: /Citrix/cotcAuth/auth/v1/protocols sso_flags-0 p_flags-0 x_flags-200000 author_hdr_removed-0"""
00:19:20 GMT system2 0-PPE-1 : default SSLVPN HTTPREQUEST 497446787 0 : Context ncl_aes@73.2.3.4 - SessionId: 276606 - cotc.domain.com User ncl_aes : Group(s) N/A : Vserver 73.2.3.4:443 - 07/11/2020:00:19:20 GMT : SSO is ON : POST /Citrix/cotcAuth/CitrixAGBasic/Authenticate - -
"00:19:20 GMT system2 0-PPE-1 : default SSLVPN Message 497446788 0 :  ""SSO ns_sslvpn_process_sso_conn: User ncl_aes Remote_ip 73.2.3.4 request: /Citrix/cotcAuth/CitrixAGBasic/Authenticate sso_flags-0 p_flags-0 x_flags-200000 author_hdr_removed-0"""
00:19:20 GMT system2 0-PPE-1 : default SSLVPN HTTPREQUEST 497446868 0 : Context ncl_aes@73.2.3.4 - SessionId: 276606 - cotc.domain.com User ncl_aes : Group(s) N/A : Vserver 73.2.3.4:443 - 07/11/2020:00:19:20 GMT : SSO is ON : POST /Citrix/cotcAuth/auth/v1/token - -
"00:19:20 GMT system2 0-PPE-1 : default SSLVPN Message 497446869 0 :  ""SSO ns_sslvpn_process_sso_conn: User ncl_aes Remote_ip 73.2.3.4 request: /Citrix/cotcAuth/auth/v1/token sso_flags-0 p_flags-0 x_flags-200000 author_hdr_removed-0"""
00:19:20 GMT system2 0-PPE-1 : default SSLVPN HTTPREQUEST 497446871 0 : Context ncl_aes@73.2.3.4 - SessionId: 276606 - cotc.domain.com User ncl_aes : Group(s) N/A : Vserver 73.2.3.4:443 - 07/11/2020:00:19:20 GMT : SSO is ON : GET /Citrix/cotc/resources/v2?clientName=hostname1234&clientAddress=10.0.0.74 - -
"00:19:20 GMT system2 0-PPE-1 : default SSLVPN Message 497446872 0 :  ""SSO ns_sslvpn_process_sso_conn: User ncl_aes Remote_ip 73.2.3.4 request: /Citrix/cotc/resources/v2?clientName=hostnamw1234&clientAddress=10.0.0.74 sso_flags-0 p_flags-0 x_flags-200000 author_hdr_removed-0"""
